"hbw_name","wikidata_qid","hex","type","is_natural_plumage"
"starlight","Q114877269","F0ECE6","General",TRUE
"steel","Q106056288","738595","General",TRUE
"stout","Q106006649","3B2814","General",TRUE
"sulphur","Q115208329","E5BB26","General",TRUE
"sulu","Q128807812","C6EA80","General",TRUE
"sumi-iro","Q11429442","343434","General",TRUE
"sunset red","Q124302644","EF4136","General",TRUE
"swamp green","Q4009900","ACB78E","General",TRUE
"swarthy","Q115733603","5E5C59","General",TRUE
"taupe","Q2307593","483C32","General",TRUE
"teal blue","Q56881339","367588","General",TRUE
"technobotanica","Q108219690","00FFC0","General",TRUE
"thistle","Q90809566","D8BFD8","General",TRUE
"tile red","Q115859278","7D2917","General",TRUE
"titanium","Q105995092","878681","General",TRUE
"tomato","Q93704722","FF6347","General",TRUE
"turquoise surf","Q77459172","00AFCA","Iridescent",TRUE
"turtledove","Q3535555","BBACAC","General",TRUE
"ukon","Q11673366","FABF14","General",TRUE
"ultramarine","Q17990717","120A8F","General",TRUE
"violet red","Q115858149","F75394","General",TRUE
"vivid sky blue","Q56528582","00CCFF","General",TRUE
"walnut brown","Q137374868","5C5248","Pigmentary",TRUE
"watermelon","Q24820286","FC6C85","General",TRUE
"white wash","Q133278763","F2F4EF","Pigmentary",TRUE
"whitish","Q119984045","F3F2ED","General",TRUE
"wisteria","Q13417144","AFB4DB","General",TRUE
"wood","Q105997630","966F33","General",TRUE
"yellow no. 1","Q11677707","FDBC00","General",TRUE
"yellowish-orange","Q124327868","FFAB0F","General",TRUE
"yellowish-red","Q124327877","EC5300","General",TRUE
"yellowish-white","Q115121358","E9F1D0","Pigmentary",TRUE
"yolk yellow","Q99211754","E2B051","General",TRUE
"young shoot color","Q18459573","E0EBAF","General",TRUE
"Amarillo selectivo","Q2293227","FFBA00","General",TRUE
"Azul YInMn","Q25112525","2E5090","General",TRUE
"Azul claro","Q4405716","99FF99","General",TRUE
"Barbecho (color)","Q3738728","C19A6B","General",TRUE
"Chifón de limón","Q3832523","FFFACD","General",TRUE
"Crudo (color)","Q1970335","CDB891","General",TRUE
"Eigengrau","Q492305","16161D","General",TRUE
"International Klein Blue","Q534583","0033CC","General",TRUE
"Marengo","Q4281308","4C5866","General",TRUE
"Pantone 448C","Q24885519","4A412A","General",TRUE
"Parma","Q3365600","CFA0E9","General",TRUE
"Pizarra","Q1411452","708090","General",TRUE
"RAL 1000","Q35793593","CDBA88","General",TRUE
"RAL 1001","Q35793728","D0B084","General",TRUE
"RAL 1002","Q35795072","C6A664","General",TRUE
"RAL 1003","Q35795226","E5BE01","General",TRUE
"RAL 1004","Q35795382","CDA434","General",TRUE
"RAL 1005","Q35795538","CB8E00","General",TRUE
"RAL 1006","Q35795684","E4A010","General",TRUE
"RAL 1007","Q35795841","DC9D00","General",TRUE
"RAL 1011","Q35795992","8A6642","General",TRUE
"RAL 1012","Q35796144","C7B446","General",TRUE
"RAL 1013","Q35796311","E3D9C6","General",TRUE
"RAL 1014","Q35796473","E1CC4F","General",TRUE
"RAL 1015","Q35796616","E6D690","General",TRUE
"RAL 1016","Q35796790","F3DE38","General",TRUE
"RAL 1017","Q35796948","F5D033","General",TRUE
